,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_c,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
98,0,L3,8,1.3779735709999998,6.889870000000001e-07,57.95920293072825,1.3579476379741087,0.25173342365992035,1.262277975133215,2.679426461003693,9.469059117402166,0.0,0.0,0.0,0.0,3.096465e-06,3.6669798e-05,1.8218812000000002e-05,5.0344717999999995e-05,0.0,1.4082151000000001e-05,2.4548194e-05,8.272360599999999e-05,4.8428612000000005e-05,0.00035458086100000004,0.0006284959379999999,5.6778601e-05,0.000246535416,0.004054739461,0.0009237020090000002,1.6609106000000003e-05,0.0020299046019999997,0.016195847149999998,0.00026138260200000003,0.002228724289,0.0,0.000169164486,2.7574053e-05,1.156087e-05,3.0870757000000005e-05,4.0663000000000004e-07,0.00015169099,0.00015645790600000002,1.895888e-05,0.0,0.0,5.9423889e-05,0.0,0.0018254453069999998,0.000605348696,0.005453374560000001,0.000886163718,0.000553306762,0.000521631744,0.0,0.001191377502,0.000527545265,0.0035067185500000002,0.000226434269,0.0002097499,0.00042722187799999994,0.0044132936220000005,0.00017157327,0.000108921639,0.000906997305,0.0019508108550000001,0.00037473402299999996,5.5749788e-05,0.0,0.0,0.0,0.0021580974350000003,0.0,0.0,7.812814400000002e-05,0.0,0.0,0.0,0.0012929425379999999,0.0,0.0,0.0,0.0,0.0016747041160000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
99,2,L3,17,0.0,0.0,52.463476909413856,0.05266451283215989,0.4793648911846896,1.1672513321492008,2.609211383880078,17.04113238967527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
100,4,L3,26,2.8930000000000002,7.2325e-07,47.8289298401421,0.4180671019759255,0.431322719959353,1.4981904973357016,2.636780360634369,19.1270607826811,0.0,0.0,0.1642495669406929,0.0,9.279363e-06,0.0007003915720000001,0.00276900295,0.008084991415,0.000641260599,0.0,9.075342e-05,0.000282808865,0.00011738492300000001,0.000255148693,0.002352336257,0.00016901987500000002,0.00035692433000000004,0.003299296463,0.0016219423030000002,3.2195714e-05,0.00015075165300000001,0.0427383333,0.000215291569,0.005053527169,0.0,0.000154180192,8.74644e-06,5.9606923e-05,5.3163137999999997e-05,1.525616e-06,0.00017022644100000002,0.000307769171,0.0,0.0,0.0,8.4698207e-05,2.2344536e-05,0.001692818971,0.001100004236,0.0,0.001222444786,0.000432889443,0.0,0.0,0.000886837168,0.000132950546,0.0,0.0,4.153866e-05,0.000525793105,0.001992725527,0.0,0.00011664943999999999,0.0007889730890000001,0.002796020628,0.000119998716,3.2347497999999996e-05,0.0,0.005602360233,0.009201650172000002,0.0,0.02024878607,0.0,0.00018666255300000002,0.002360045181,0.0,0.0,0.001597994601,0.00017589989399999998,0.0,0.000269247862,0.0,0.001692849712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
101,6,L3,35,0.0,0.0,44.257715364120784,0.09584711560299795,0.47261749513083245,1.9413188277087037,3.9955463827938305,21.718068276436302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004841016487,0.01023376108,0.0,0.03190026408,0.0,0.00022298375700000001,0.002773453002,0.0,0.0,0.0017608947169999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
102,8,L3,44,3.4989999999999997,8.7475e-07,39.545903641207815,0.12721755621167385,0.4836362096705902,2.166640763765542,4.37888333695416,23.401998334721064,0.0,0.0,0.38791247064004697,0.0,0.0,0.000848759795,0.002790022464,0.0069708806440000005,0.000791820658,0.0,0.000157500771,0.0,0.0,0.0,0.0,0.0,0.0,0.001829933311,0.00139112206,2.9797129e-05,4.1731823e-05,0.058603940119999996,0.000202886968,0.006542455379,0.0,0.00015980892900000003,3.230575e-06,4.2777279000000004e-05,4.0149961e-05,1.9173329999999997e-06,0.00014799817099999998,0.00034100651500000004,1.3804958000000001e-05,0.0,0.0,5.5320213e-05,1.1956565000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034767422830000003,0.01000456177,0.0,0.049630447609999996,0.0,0.000272958944,0.0,0.0,0.0,0.001624836097,0.00020203253899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
103,10,L3,53,0.0,0.0,36.40552841918295,0.061697342720872135,0.4749513083241595,2.564809058614565,4.927373452096459,23.385845129059117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026791818519999997,0.007985382495,0.0,0.06586137211000001,0.0,0.000484501791,0.0,0.0,0.0,0.0016572310069999999,0.000189104484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
104,12,L3,62,3.701,9.252500000000001e-07,34.140874777975135,0.05246120826709063,0.4473994411042425,2.408903197158082,5.085791874864219,22.632805995004162,0.0,0.0,0.6289058940105696,0.0,1.4750006999999999e-05,0.0009451501940000002,0.001490389557,0.005621033275,0.000978981913,0.0,0.000151246075,0.000324561087,0.000177866648,0.000295348828,0.002268526494,0.00021963120600000002,0.000375530774,0.0,0.0,0.0,5.9432215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1777196e-05,0.00044493547200000005,0.0,0.0,0.0,6.197153900000001e-05,0.0,0.00015919308599999997,0.000811715265,0.0,7.3254552e-05,0.000324320344,6.504319000000001e-05,0.0,0.000638479204,0.0,0.0,0.0,5.2495003e-05,0.000434663625,0.0,0.0,7.539038099999999e-05,0.000577883519,0.002212961808,7.42336e-05,1.1250895e-05,0.0,0.0040636072890000005,0.01133328705,0.0,0.11867233950000002,0.00017439603700000002,0.0017528602280000001,0.005174710749,0.0,0.000181733244,0.0012711916700000002,0.00021963866000000002,0.0,0.00074643485,0.0,0.002030039844,0.0011468515749999998,0.0,0.0,0.0,0.0,0.0,0.0,24.0
105,16,L3,71,0.0,0.0,30.478186056838368,0.036503202362025894,0.3928495215513591,1.9035190941385438,5.597805778839888,22.003663613655288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00235863642,0.006846387275,0.0,0.09647010661000001,0.0,0.000638598656,0.0,0.0,0.00015408691900000002,0.0015818742769999998,0.000157003272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
106,18,L3,80,3.727,9.3175e-07,28.017650976909415,0.0293258346581876,0.37162587856719453,1.6002109236234459,5.782185531175321,21.15020815986678,0.0,0.0,1.3679506092190252,0.0,8.977964e-06,0.000991804474,0.002896497017,0.0072305960479999995,0.0013188292640000001,0.0,0.000205715881,0.00034284686399999997,0.000219697887,0.00035098321600000003,0.002808284923,0.000303868977,0.00042046279299999995,0.0010020212370000002,0.0010505806600000001,2.3657043999999998e-05,3.9743015e-05,0.051057049820000006,0.00028409049199999996,0.0069926480440000004,0.0,0.000251195085,3.879732e-06,3.3144044999999996e-05,7.042403e-05,2.279224e-06,7.1894001e-05,0.0003609954070000001,0.0,0.0,0.0,6.8637306e-05,0.0,0.00014033735100000002,0.000472746974,0.0,7.2910321e-05,0.00036709154999999997,5.94918e-05,0.0,0.000646794141,0.0,0.0,0.0,4.3587464000000004e-05,0.0006086631060000001,0.0,0.0,0.00010337324600000001,0.00056239602,0.0021525048830000003,0.00019007098100000004,6.10688e-06,0.0,0.0022125399780000003,0.006172633332999999,0.0,0.1007710209,0.0,0.0007730461259999999,0.0,0.0,0.000128113015,0.001440339375,0.000208438955,0.0,0.000695317901,0.0,0.0015407171880000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
107,20,L3,89,0.0,0.0,24.880994671403197,0.02731595503066091,0.4018985519519011,1.6766984902309057,5.908212035628938,20.789175686927557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002234466344,0.007094706361,0.000770574141,0.1113175328,0.0,0.000901645721,0.0,0.0,0.000123357361,0.001166370999,0.000212218279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
