,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_c,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
28,0,I3,3,1.4726604980000002,7.363299999999999e-07,58.82715364120782,1.5025501816942994,0.1305368786518757,0.7224478241563056,1.7563871388225072,8.610824313072438,0.0,0.0,0.0,0.0,0.0,1.4374634e-05,0.000307744008,0.00033804911,0.0,0.0,0.0,0.00017162323699999998,5.6790834000000005e-05,0.00017097983600000002,5.2535768e-05,6.357542900000001e-05,0.00015142024800000002,0.005843841423,0.0011523546279999998,1.6491909999999998e-05,0.003008530771,0.01070867384,0.00020792274800000003,0.002793847195,0.0,0.000145027627,4.8892652e-05,2.2485766e-05,9.3326237e-05,1.477038e-06,0.00022494080800000002,4.323179e-05,5.6276306e-05,0.0,0.0,0.00010009030300000001,5.4325947e-05,0.002199901056,0.000788865258,0.004088937593,0.001393550494,0.000665770035,0.000858989488,0.0,0.0012501459500000001,0.0007247904229999999,0.004345012301000001,0.0,0.000345397939,0.000281287847,0.005345116879,0.00021683825899999998,0.000109032506,0.0019327918919999998,0.002199511636,0.0009451308690000001,0.00023276188899999997,0.0,0.0,0.0,0.0,0.00046001801700000007,0.0,0.0,0.0,0.0,0.0,0.01234475355,0.000657643721,0.00013831690099999999,0.0,0.0,0.001704390665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
29,2,I3,12,0.0,0.0,52.7469471580817,0.04383755394049512,2.032288932170378,1.016237788632327,3.2521399087551597,15.022064945878434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
30,4,I3,21,2.7310000000000003,6.8275e-07,47.25727131438721,0.04257656143538497,1.9767126767719538,1.271714031971581,3.2385183575928744,18.080266444629476,0.8945299198885408,0.0,0.0,0.0,7.67629e-06,0.00110484463,0.000623555306,0.01155273333,0.006718619352999999,0.0,0.0,0.000317549523,0.00014025728199999998,0.00034319765700000003,0.00177817708,0.00020985887700000001,0.00027953737699999996,0.004495855908000001,0.001993045131,4.2487028e-05,0.000412423554,0.0297978391,0.00034463018799999997,0.0062417129600000005,0.0,0.000227719957,3.1284692999999996e-05,8.3847781e-05,9.4792796e-05,3.8733420000000006e-06,0.000325610249,7.3912415e-05,0.00034016413299999996,0.0,0.0,0.000308009177,4.5113765e-05,0.0020486813069999998,0.001003861706,0.0,0.00059472962,0.0006990049459999999,6.9505156e-05,0.0,0.0015807063269999999,0.00037101968000000004,0.000479865174,0.0,0.000289771524,0.0009406302640000001,0.01322995702,0.0,0.000573193572,0.0029166776730000002,0.004959992313,0.000803651547,0.000310280465,0.0,0.002901290368,0.12986988600000002,0.004242486691,0.02850088843,0.0,0.000465226543,0.0,0.004643005475,0.0,0.01287833861,0.0013994019930000001,0.0,0.0,0.0,0.0015835050740000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
31,6,I3,30,0.0,0.0,43.55916962699823,0.03729067681126505,2.0226437462951985,0.983454706927176,4.25031501194873,19.26677768526228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002035081146,0.11271747730000001,0.006061652069,0.042345613409999996,0.0,0.000888664063,0.0,0.005423568057,0.0,0.011869213540000001,0.0012741922260000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
32,8,I3,39,3.4360000000000004,8.590000000000001e-07,39.60290852575489,0.024433692936634117,2.067050554661699,1.0158958703374779,4.798392352813382,17.904579517069113,2.6927303378613727,0.0,0.0,0.0,0.0,0.001672044795,0.000869716041,0.01158330034,0.005611453282,2.313449e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002825099021,0.00141848573,2.6342511000000004e-05,0.00017853972199999998,0.03235460006,0.00023956883100000002,0.007357237388,0.0,0.000164278537,2.4058847000000003e-05,9.650449999999999e-05,0.000108457797,7.287214e-06,0.000308341417,8.443812699999999e-05,0.000351266975,0.0,0.0,0.0008574457809999999,2.4875896000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000541755462,0.07924990047,0.007923716297,0.06333716494,0.0,0.0008464806420000001,0.0,0.0053924259010000005,0.0008186030520000001,0.0107684306,0.001406147337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
33,10,I3,48,0.0,0.0,35.47818605683837,0.03012103111514876,2.1186552629350497,1.1865119893428064,5.6199652400608295,16.27740216486261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000908245709,0.09005234069,0.01084760433,0.08011224291,0.0,0.0008538798890000001,0.0,0.007275544647999999,0.0015420254309999998,0.012830880860000001,0.0018285567480000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
34,12,I3,57,3.676,9.19e-07,32.13815497335702,0.016739052918464687,2.1002794478787363,1.1585035523978686,5.376689115794047,14.775170691090757,3.907831789155928,0.0,0.0,0.0,8.369372e-06,0.0017643744240000002,0.001283673581,0.012836440769999999,0.008257723735000002,3.8725280000000005e-06,0.0,0.000419323694,0.000174573101,0.000405781766,0.002115673665,0.00024434061,0.00035333757700000003,0.0020637305549999997,0.001236492202,2.4354019e-05,0.00019870402600000002,0.057300363550000004,0.000266306504,0.008910262042000001,0.0,0.000196151425,3.4246993e-05,0.000115897142,0.000139961502,7.108774e-06,0.00023502024,8.596551800000001e-05,0.00032463627300000005,0.0,0.0,0.0027585124300000003,0.0,0.000329551806,0.000842877165,0.0,0.000515553664,0.00042643711799999996,7.3022708e-05,0.0,0.0015740490549999999,0.0,0.000576231064,0.0,0.00034930219700000004,0.0011647737409999999,0.01409947126,0.0,0.000609629993,0.0026273306440000002,0.004169352038,0.0007127785209999999,0.00016383247199999997,0.0,0.000826959556,0.09139947542,0.01285591619,0.08916096351000001,0.0,0.000775497606,0.0,0.008743001699,0.001555654191,0.0137590464,0.00191531696,0.0,0.000243858558,0.0,0.001138923237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
35,16,I3,66,0.0,0.0,26.4776865008881,0.01861766977061095,2.0104581251587774,0.8777586589698047,5.777818813817076,12.491557035803497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000827018103,0.11122460829999999,0.01677399966,0.1040374604,0.0,0.0010002872249999998,0.0,0.012286456480000001,0.0019468652830000003,0.013762415089999999,0.002121919089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
36,18,I3,75,3.522,8.805e-07,22.16607460035524,0.008213184192595958,2.057557794902193,0.9185956927175845,6.524961981316532,11.269142381348875,7.480932787646583,0.0,0.0,0.0,6.214554000000001e-06,0.001820365525,0.0019086717200000002,0.011320562150000001,0.008002499098999999,2.260147e-06,0.0,0.000356355561,0.00018049971399999997,0.00038997240200000006,0.002400439643,0.000326855578,0.000275772821,0.002347958159,0.0013481914019999998,3.2850404e-05,8.6071195e-05,0.050066965070000004,0.000270294073,0.008966236762000002,0.0,0.000204442873,2.0952331e-05,0.000127566803,0.00019976839,1.0032603000000001e-05,0.000183534859,0.00010505789800000001,0.000168004427,0.0,0.0,0.01220985902,0.0,0.00044935143100000003,0.000754522223,0.0,0.000477953178,0.00036261090600000004,5.5548882000000004e-05,0.0,0.001385764371,0.0,0.000564715625,0.0,0.00029298834000000004,0.001097526664,0.0,0.0,0.00045140299600000003,0.002533078993,0.004140602189,0.000732430382,0.000162620575,0.0,0.0007804852350000001,0.1148388328,0.020947449769999998,0.11387054790000001,0.0,0.001092036165,0.0,0.01411576364,0.001944797365,0.01237984711,0.0029276980010000007,0.0,0.0,0.0,0.001107146362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
37,20,I3,84,0.0,0.0,16.682226909413856,0.013370395185101068,2.0163519349648573,1.1685168738898757,6.292439713230501,10.275853455453788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000763869699,0.1154731271,0.021699089820000003,0.11671778640000001,0.0,0.001307874667,0.0,0.014798776670000001,0.0016624213630000001,0.01250334092,0.003033590065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
