,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_c,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
14,0,I2,2,0.612,3.06e-07,59.613676731793966,1.2457449125596183,0.08256414599034634,0.705373001776199,0.7731913969150553,5.373855120732722,0.0,0.0,0.0,0.0,9.832112e-06,1.2538565e-05,0.000307744008,0.010088370769999999,0.000400207024,0.0,0.0,0.00010161486900000002,4.093889200000001e-05,0.00014775439300000002,0.000295064167,5.2145054000000004e-05,0.000116582264,0.003393868352,0.00073322757,1.4875782e-05,0.0009103658559999999,0.01116553302,0.00032345933100000004,0.0016860815009999998,0.0,0.00026776705899999995,3.6279674e-05,1.0054625e-05,5.474062599999999e-05,0.0,5.970948400000001e-05,1.034309e-05,3.5352693e-05,0.0,0.0,0.000105369021,3.0637127000000006e-05,0.002317385982,0.000911173054,0.017864850839999998,0.002011192211,0.000763009624,0.0008610097450000001,0.0,0.0013098226879999998,0.0008886408059999999,0.004298423153,0.0007621519879999999,0.000580118288,0.00047607410299999996,0.0067585901439999995,0.000270229347,0.00027254827,0.00223633923,0.002763453419,0.001061038154,0.000246816948,0.0,0.0018892765980000003,0.004209292522,0.0,0.00055161012,0.0,0.0,0.0,0.0,0.0,0.01018624021,0.0,0.0,0.0,0.0,0.0013026948520000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
15,2,I2,11,0.0,0.0,56.433781083481364,2.044453315920963,2.024633753916504,2.5069271758436944,4.605670215077123,11.97610324729392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
16,4,I2,20,2.2119999999999997,5.529999999999999e-07,51.11967140319716,0.03279742221212809,2.00525870099077,3.5286745115452933,1.7147773191396916,14.232073272273107,0.36323257866016495,0.0,0.0,0.0,0.000100557304,0.0012524102029999999,0.000623555306,0.0057783591799999996,0.003994369964,1.6560589999999998e-06,0.0,0.00023218612800000003,0.000124701314,0.00026365687900000004,0.001210413042,0.000159129638,0.00029086439600000004,0.005028560498,0.001621319501,2.4994128e-05,0.000208846948,0.057283404700000005,0.00044098317600000004,0.005300239928,0.0,0.000254146969,2.8857112e-05,4.4128307e-05,6.892699e-05,0.0,0.000409385491,8.324277800000001e-05,0.00030261583,0.0,0.0,0.000623022234,6.4285477e-05,0.00341663539,0.0015362942640000001,0.0,0.004629784088,0.000824191211,0.0,0.0,0.0015770749840000001,0.0006387143290000001,0.000392829608,0.0,0.000258068516,0.000615179033,0.010560073770000001,0.00019297529,0.00040725187600000004,0.00316218197,0.005075931478,0.00116574256,0.000363678966,0.0,0.002630933702,0.05769722021,0.001152842178,0.03054207793,0.0,0.0,0.0,0.002113785161,0.0,0.01111729321,0.000780809113,0.0,0.0,0.0,0.0015467330080000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
17,6,I2,29,0.0,0.0,48.4376665186501,0.03019822848058142,2.018070962824964,3.7725244227353465,2.296306756463176,13.851107410491258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002167759537,0.06840928784,0.00103640735,0.055246448520000005,0.0,0.0007844315740000001,0.0,0.004106475363000001,0.0,0.01161508135,0.001117354776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
18,8,I2,38,2.932,7.33e-07,42.784524866785084,0.020161753349988643,1.980226945550004,4.364820159857905,2.517140995003259,12.766960865945045,1.1746679786369445,0.0,0.0,0.0,0.0,0.0027587942050000002,0.000869716041,0.005363780298,0.006082446964,1.6479160000000002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060240649520000005,0.0021716931950000002,4.1417871e-05,5.5675578e-05,0.07937726053000001,0.00034848151,0.007796172705,0.0,0.00025673674899999996,3.4221521e-05,7.2001523e-05,0.000109409256,1.771575e-06,0.000376203645,9.2407121e-05,0.000207136715,0.0,0.0,0.000876020315,4.739838599999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00145750685,0.09144162900000001,0.005182998454,0.10855526270000002,0.0,0.0008301731490000001,0.0,0.01032048329,0.0,0.01069702186,0.0010756582720000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
19,10,I2,47,0.0,0.0,36.25993561278864,0.01689345900522371,1.9976966720298077,4.717306838365898,3.306756463176189,10.435736885928392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000754549074,0.09395510643999999,0.006750540958,0.1524785772,0.0,0.000980867418,0.0,0.01525823674,0.0,0.01021996409,0.0014735461159999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
20,12,I2,56,3.492,8.729999999999999e-07,32.48134991119006,0.0036041221894163073,1.964882716572106,4.83334813499112,3.480295459482946,6.777485428809325,2.143296180192732,0.0,0.0,0.0,0.000129050576,0.003675133727,0.001283673581,0.007188823923,0.01200525513,4.505487e-06,0.0,0.00046226994600000003,0.000193568247,0.000386296185,0.0018712808249999999,0.000247255325,0.00027462615000000003,0.0037281986100000004,0.001689040396,3.1301895000000006e-05,9.365076300000001e-05,0.07642907997000001,0.00027383286100000003,0.01110456625,0.0,0.00023541365600000003,3.3598935000000004e-05,7.162544700000001e-05,0.000143539526,4.774019e-06,0.00019930515500000002,9.0647301e-05,0.00012720625800000001,0.0,0.0,0.00292415724,3.1565987999999996e-05,0.000363057425,0.0009105986909999999,0.0,0.000500965955,0.00032046403899999997,0.0,0.0,0.0012312250430000001,0.0,0.0005145102860000001,0.0,0.000275475079,0.000385825131,0.0,0.0,0.000161403465,0.0021068065130000002,0.0035955681860000005,0.000637413443,0.00019321574600000003,0.0,0.000516943397,0.0881968338,0.008269448738,0.1948279322,0.0,0.001527914364,0.0,0.01918139324,0.001231945485,0.01064956411,0.001955165873,0.0,0.0,0.0,0.0020058293590000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
21,16,I2,65,0.0,0.0,25.946658525754888,0.0,1.9290202388009146,4.582648756660747,3.725722354985879,2.751706910907577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000276433807,0.1110944943,0.012475459389999999,0.23436999900000005,0.0,0.0021944381330000003,0.0,0.02901346423,0.002589669646,0.01275121698,0.0022521359350000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
22,18,I2,74,3.6430000000000002,9.1075e-07,21.71508658969805,0.0,1.9665085951393004,4.318061722912967,3.76997610254182,2.0980682764363032,5.5014414838035535,0.0,0.0,0.0,0.00013890286300000001,0.0042216874290000005,0.0019086717200000002,0.008473734079,0.01079217989,1.6234860000000002e-06,0.0,0.000371302815,0.000193820103,0.000374854686,0.002012239198,0.000308033031,0.000215372237,0.00315820717,0.0015413923090000002,4.6205563e-05,8.0093721e-05,0.06199693466,0.00024829984800000003,0.008539535718,0.0,0.00023505804800000004,3.3341197000000004e-05,8.7186032e-05,0.000271480214,6.754703000000001e-06,0.00017750503899999998,9.974523600000001e-05,7.092507700000001e-05,0.0,0.0,0.003688483497,1.7725604e-05,0.000398618036,0.0006467502950000001,0.0,0.000408062253,0.00031110563000000003,6.2215475e-05,0.0,0.001303086027,0.0,0.000587511139,0.0,0.000335925796,0.0006035680590000001,0.0,0.0,0.00021881821500000003,0.002234519698,0.003881033315,0.0007675164150000001,0.00018417786,0.0,0.000369792277,0.11048837260000001,0.013401614289999999,0.23975802510000002,0.0,0.0025485988160000002,0.0,0.02814553143,0.00260938414,0.008981546264,0.003057608737,0.0,0.0,0.0,0.001483306836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
23,20,I2,83,0.0,0.0,16.461312166962703,0.0,1.9249978829706156,4.4965919182948495,4.133326091679339,2.121548709408826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000548125337,0.1168375448,0.01636853855,0.2536267379,0.0,0.002837503805,0.0,0.03308837455,0.002174762164,0.01047635442,0.0036633996750000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
