,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_c,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
84,0,L2,7,0.713,3.565e-07,58.039409413854365,0.44977466500113567,0.13742569226860868,1.5515763765541741,1.0555746252444056,5.143480432972522,0.0,0.0,0.0,0.0,7.6283610000000005e-06,0.000892762772,4.670344500000001e-05,0.000173320815,0.0,8.239197e-06,4.3355806e-05,0.000160001269,9.4877499e-05,0.000302952463,0.0005425931050000001,8.1441575e-05,0.000286359015,0.0032283491870000003,0.000697041135,8.527552e-06,0.0021853852000000003,0.01527354289,0.000278012661,0.0013488333819999998,0.0,0.00018924250199999997,2.0987332000000002e-05,7.689494e-06,2.1560633999999998e-05,0.0,0.000174829084,3.096286e-05,2.9727947000000002e-05,0.0,0.0,3.7995715999999996e-05,5.670066e-06,0.0031901809460000005,0.00087914608,0.02389683755,0.001747123382,0.0010078117090000002,0.0011504102780000001,0.0,0.00185979148,0.001218785091,0.007028125604999999,0.00040428292600000004,0.0005537674740000001,0.0008616667729999999,0.006301990047000001,0.00035495750799999996,0.000294393814,0.002560656261,0.003219778199,0.001021441104,0.000242505579,0.0,0.0,0.0,0.001025752063,0.000126263985,0.0,0.0,0.002429648625,0.0,0.0,0.001960894717,0.0,0.0,0.0,0.0,0.0022922432239999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
85,2,L2,16,0.0,0.0,53.73534635879219,0.22562656143538495,0.5496519603692099,2.760890319715809,2.3405605040191175,9.368676103247294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
86,4,L2,25,2.213,5.532500000000001e-07,50.39764653641208,0.5638560072677721,0.5996240155813363,2.8863232682060396,1.8656072126873775,9.721765195670274,0.0,0.0,0.018734776864357018,0.0,4.1512468999999994e-05,0.00265148138,8.3405523e-05,0.00018242515100000002,0.0,5.1389770999999994e-05,0.000113562331,0.00016114485000000002,9.1496002e-05,0.00018045058600000004,0.001585056438,0.000494896754,0.00034183784799999997,0.0029787905980000005,0.001171366059,1.3827221000000001e-05,0.000250081569,0.038823516009999996,0.000298775956,0.002016360555,0.0,0.000168154342,9.000330000000001e-06,1.7642215e-05,2.3301079e-05,0.0,0.00022542248,5.4753626e-05,1.5088057000000001e-05,0.0,0.0,6.213520400000001e-05,1.5527401000000003e-05,0.003980285549,0.001261218201,0.0,0.006589825662999999,0.001241984797,0.001338568732,0.0,0.002004523871,0.000748183206,0.0,0.0,0.000105378596,0.000924922011,0.0,0.000299370548,0.000407897325,0.003153365972,0.005247598867,0.000972017747,0.00026792316300000004,0.0,0.0,0.001728316706,0.0016150501380000001,0.12375184579999998,0.0,8.115938100000001e-05,0.002465793571,0.0,0.0,0.0016903972230000001,0.0,0.0,0.0,0.0,0.001784853481,0.000542057218,0.0,0.0,0.0,0.0,0.0,0.0,2.0
87,6,L2,34,0.0,0.0,48.47374555950267,0.015272178060413354,0.45580574138369034,3.0770426287744232,1.9325852704757764,7.662631140716069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002235764295,0.001054042062,0.1495192127,0.0,8.1883659e-05,0.0024797142600000003,0.0,5.6871639e-05,0.0013678364830000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
88,8,L2,43,3.196,7.990000000000001e-07,45.60929174067496,0.016095684760390645,0.4290600389533406,3.2908636767317945,1.86,5.445495420482931,0.0,0.0,0.05761797563123899,0.0,0.0,0.0032870036369999998,0.000102936345,0.00027152085999999995,0.000444711694,0.00012179402300000001,0.000179796429,0.0,0.0,0.0,0.0,0.0,0.0,0.0023333938780000004,0.0012928701929999999,1.6413537e-05,0.000286741931,0.044567781179999995,0.000224467199,0.00181783776,0.0,0.000164247539,1.0245594000000001e-05,2.4394909e-05,4.0125699e-05,0.0,0.000174936122,6.0365126e-05,0.0,0.0,0.0,4.8335537999999995e-05,9.504821e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003159959539,0.00098141805,0.18559271240000003,0.0,9.7334925e-05,0.00198919315,0.0,6.4346144e-05,0.00142822985,0.00021339355699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
89,10,L2,52,0.0,0.0,42.68028419182949,0.0016328639563933684,0.35459310695232454,3.806982682060391,1.9497110580056485,4.020649458784346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202543697,0.003954957457,0.0007371372790000001,0.21490858050000003,0.0,8.6296391e-05,0.002299294807,0.0,7.832346900000001e-05,0.0014995757809999999,0.000174378946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
90,12,L2,61,3.617,9.0425e-07,39.71797291296625,0.0005005371337724279,0.34590227792361755,3.8337366785079934,1.9178188138170758,3.2515903413821814,0.0,0.0,0.1151494641808573,0.0,5.9232985999999995e-05,0.004087342684,0.00012930648799999999,0.000416616508,0.000308566397,8.955858e-05,0.000291154059,0.000113071431,8.3421759e-05,0.0001456541,0.001779063556,0.00078782104,0.00023886614399999998,0.001587756194,0.000860548578,1.5835398000000002e-05,0.000233762293,0.05016676356,0.00013002583100000002,0.001560575337,0.0,0.000114294505,9.590206e-06,2.8066696000000003e-05,0.00014591751699999999,0.0,0.000155348129,7.235182e-05,0.0,0.0,0.0,5.5030187000000005e-05,0.0,0.002583199026,0.00107249034,0.0,3.8329673e-05,0.000928327547,4.6216158e-05,0.0,0.001325441063,0.00015451063400000002,0.0,0.0,0.00010837688300000002,0.0006943260590000001,0.0,0.0,0.00037078510299999996,0.0022028118290000004,0.00467803635,0.00040485670600000004,0.000146149025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000783760295,0.0,0.001921460676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,16,L2,70,0.0,0.0,35.047790852575496,0.0,0.31012871538656955,3.7989675843694495,1.7557158374972843,2.83007493755204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000673112681,0.0033956246650000002,0.000798154228,0.2623015964,0.0,0.00023996405399999998,0.0034658240989999998,0.0,0.00010928660499999999,0.001982645584,0.000169954372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
92,18,L2,79,3.767,9.417499999999999e-07,32.91585257548846,0.0,0.32800999237869416,3.9675843694493786,1.9169606778188135,3.0952206494587844,0.0,0.0,0.21303985613623017,0.0,3.976895200000001e-05,0.0033573186610000006,0.000171745616,0.000476509225,0.000296095066,0.00016276105,0.00032126701000000004,0.00011299817500000001,8.9972587e-05,0.00016462432400000002,0.001763555611,0.000652359182,0.000185168042,0.00113399841,0.0007704433790000001,9.385465000000001e-06,6.977401700000001e-05,0.034856039869999994,0.000104003815,0.0017266095680000002,0.0,9.238276099999999e-05,2.4249059e-05,2.1949976e-05,6.2458502e-05,0.0,6.5400349e-05,0.000319523436,2.0891645e-05,0.0,0.0,9.469144300000001e-05,0.0,0.0008616171290000001,0.00041217546100000003,0.0,2.9074312000000003e-05,0.0005050553610000001,0.0,0.0,0.000596676194,1.3936220000000003e-06,0.0,0.0,8.8967444e-05,0.000338264502,0.0,0.0,9.1785508e-05,0.000433904471,0.0021424046369999997,5.2213927e-05,1.8171700000000004e-05,0.0,0.0008497533159999999,0.003624189294,0.00089058479,0.2789587379,0.0,0.000336950253,0.002506578747,0.0,9.955106300000002e-05,0.001224990359,0.00017071484500000002,0.0,0.0,0.0,0.0014239337380000001,0.0007795838240000001,0.0,0.0,0.0,0.0,0.0,0.0,2.0
93,20,L2,88,0.0,0.0,29.824045293072828,0.0,0.336895588110763,4.147935168738899,2.1863132739517708,3.235886761032473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000909274823,0.0038272674980000003,0.001255763599,0.2944737961,0.0,0.000552074252,0.002620752816,0.0,8.768528600000001e-05,0.0015649826460000002,0.0001622805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
